unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
59900180,2024-01-01T10:19:09.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,10472,1315 ELDER AVENUE,ELDER AVENUE,EAST  172 STREET,BRONX RIVER AVENUE,EAST  172 STREET,BRONX RIVER AVENUE,ADDRESS,BRONX,ELDER AVENUE,BRONX,1017486,242293,40.83165119082447,-73.87989875284211,"
,  
(40.83165119082447, -73.87989875284211)"
59894419,2024-01-01T10:18:46.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11207,1486 BUSHWICK AVENUE,BUSHWICK AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1010052,188173,40.683130577635026,-73.90696984778563,"
,  
(40.683130577635026, -73.90696984778563)"
59899747,2024-01-01T10:18:46.000,HPD,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11207,1486 BUSHWICK AVENUE,BUSHWICK AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1010052,188173,40.683130577635026,-73.90696984778563,"
,  
(40.683130577635026, -73.90696984778563)"
59899729,2024-01-01T10:18:46.000,HPD,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11207,1486 BUSHWICK AVENUE,BUSHWICK AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1010052,188173,40.683130577635026,-73.90696984778563,"
,  
(40.683130577635026, -73.90696984778563)"
59900592,2024-01-01T10:18:46.000,HPD,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11207,1486 BUSHWICK AVENUE,BUSHWICK AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1010052,188173,40.683130577635026,-73.90696984778563,"
,  
(40.683130577635026, -73.90696984778563)"
59898823,2024-01-01T10:18:46.000,HPD,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,1486 BUSHWICK AVENUE,BUSHWICK AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1010052,188173,40.683130577635026,-73.90696984778563,"
,  
(40.683130577635026, -73.90696984778563)"
59894056,2024-01-01T10:18:27.000,NYPD,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11228,1255 86 STREET,86 STREET,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,86 STREET,BROOKLYN,980120,163209,40.614646457084284,-74.01487560199662,"
,  
(40.614646457084284, -74.01487560199662)"
59900739,2024-01-01T10:18:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11412,112-02 204 STREET,204 STREET,112 AVENUE,113 AVENUE,NA,NA,ADDRESS,SAINT ALBANS,NA,QUEENS,1052948,195645,40.70341042394021,-73.75223095459314,"
,  
(40.70341042394021, -73.75223095459314)"
59898306,2024-01-01T10:17:47.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11203,655 EAST   40 STREET,EAST   40 STREET,AVENUE D,FOSTER AVENUE,AVENUE D,FOSTER AVENUE,ADDRESS,BROOKLYN,EAST   40 STREET,BROOKLYN,1001240,172366,40.63976516384674,-73.93878168638778,"
,  
(40.63976516384674, -73.93878168638778)"
59898629,2024-01-01T10:17:43.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,2165 1 AVENUE,1 AVENUE,EAST  111 STREET,THOMAS JEFFERSON PARK PATH,EAST  111 STREET,THOMAS JEFFERSON PARK PATH,ADDRESS,NEW YORK,1 AVENUE,MANHATTAN,1001601,228333,40.79338038300756,-73.93733667375174,"
,  
(40.79338038300756, -73.93733667375174)"
59894949,2024-01-01T10:17:38.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11375,102-29 62 ROAD,62 ROAD,102 STREET,YELLOWSTONE BOULEVARD,102 STREET,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,62 ROAD,QUEENS,1024308,207126,40.73509896343097,-73.85545658092819,"
,  
(40.73509896343097, -73.85545658092819)"
59897281,2024-01-01T10:17:33.000,DSNY,Dead Animal,Raccoon,Street,11226,BEVERLY ROAD,BEVERLY ROAD,BEVERLY ROAD,MARLBOROUGH ROAD,BEVERLY ROAD,MARLBOROUGH ROAD,INTERSECTION,NA,NA,BROOKLYN,993960,174015,40.644302287340295,-73.96501058193485,"
,  
(40.644302287340295, -73.96501058193485)"
59899108,2024-01-01T10:17:30.000,DSNY,Dirty Condition,Dog Waste,Sidewalk,10002,ALLEN STREET,ALLEN STREET,ALLEN STREET,EAST HOUSTON STREET,ALLEN STREET,EAST HOUSTON STREET,INTERSECTION,NA,NA,MANHATTAN,987399,202661,40.722933781818995,-73.98863937450832,"
,  
(40.722933781818995, -73.98863937450832)"
59896369,2024-01-01T10:17:26.000,NYPD,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,10036,256 WEST   47 STREET,WEST   47 STREET,WEST   47 STREET BIKE PATH,8 AVENUE,WEST   47 STREET BIKE PATH,8 AVENUE,ADDRESS,NEW YORK,WEST   47 STREET,MANHATTAN,988023,216142,40.759935525129784,-73.98638061237266,"
,  
(40.759935525129784, -73.98638061237266)"
59896898,2024-01-01T10:17:17.000,NYPD,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11434,179-12 142 AVENUE,142 AVENUE,FARMERS BOULEVARD,180 STREET,FARMERS BOULEVARD,180 STREET,ADDRESS,JAMAICA,142 AVENUE,QUEENS,1049470,183544,40.67022238968656,-73.76489192990815,"
,  
(40.67022238968656, -73.76489192990815)"
59900726,2024-01-01T10:17:12.000,DOT,Street Sign - Damaged,Stop,Street,11432,84-46 CHARLECOTE RIDGE,CHARLECOTE RIDGE,HENLEY ROAD,HENLEY ROAD,HENLEY ROAD,HENLEY ROAD,ADDRESS,JAMAICA,CHARLECOTE RIDGE,QUEENS,1042912,200222,40.71604539076369,-73.78838717592487,"
,  
(40.71604539076369, -73.78838717592487)"
59900110,2024-01-01T10:16:57.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,3801 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,38 STREET,39 STREET,38 STREET,39 STREET,ADDRESS,BROOKLYN,FORT HAMILTON PARKWAY,BROOKLYN,987059,173746,40.643568817630076,-73.98987804402164,"
,  
(40.643568817630076, -73.98987804402164)"
59896736,2024-01-01T10:16:48.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11205,36 ST EDWARDS STREET,ST EDWARDS STREET,PARK AVENUE,MONUMENT WALK,PARK AVENUE,MONUMENT WALK,ADDRESS,BROOKLYN,ST EDWARDS STREET,BROOKLYN,990267,192829,40.695945787558024,-73.97830129757128,"
,  
(40.695945787558024, -73.97830129757128)"
